"ID","구분","업무영역","요구사항","상세","우선순위","근거자료","프로토타입 반영상태"
"NAV-001","기능","메뉴/권한","다단계 사이드바","사이드바는 1차, 2차, 3차, 4차 메뉴까지 확장 가능해야 한다.","P0","Notion 피드백","미반영"
"NAV-002","기능","메뉴/권한","작업자/관리자 모드","작업자와 관리자는 접근 가능한 화면과 메뉴가 분리되어야 한다.","P0","기존 프로토타입","일부 반영"
"MST-001","기능","기준정보","차량/차종 마스터","차량명, 코드명, 제조사, 분류, 연식, 별칭을 표준화해 견적, 작업, 보증서, 필름 재단에 연결한다.","P0","필름 재단.html, 베스트단가표.html","일부 반영"
"MST-002","기능","기준정보","필름 재단 마스터","차종별 필름 재단 가로/세로 치수와 비고를 관리하고 차종 선택 시 자동 표시한다.","P0","필름 재단.html","일부 반영"
"MST-003","기능","기준정보","거래처 마스터","매출처, 매입처, 보험사, 카드사, 협력업체를 통합 관리한다.","P0","매입.html, 메모.html, 스케줄.html","일부 반영"
"MST-004","기능","기준정보","썬팅 상품 마스터","브랜드, 시리즈, 등급, 농도, IRR, TSER, 가격을 관리한다.","P0","썬팅.html","일부 반영"
"MST-005","기능","기준정보","상품 마스터","상품은 작업용, 판매용, 공용으로 구분하고 재고, 창고위치, 매입단가, 판매단가를 관리한다.","P0","사용자 추가 요청, 판매관리 화면","일부 반영"
"MST-006","기능","기준정보","상품 판매 가능 여부","작업 투입 전용 상품은 판매 선택에서 제외하고 판매용/공용 상품만 판매 등록에 노출한다.","P0","사용자 추가 요청","일부 반영"
"MST-007","기능","기준정보","상품 엑셀 양식 다운로드","상품 일괄등록을 위한 엑셀/CSV 양식을 다운로드할 수 있어야 한다.","P0","사용자 추가 요청","일부 반영"
"MST-008","기능","기준정보","상품 엑셀 일괄등록","엑셀에서 복사한 상품 데이터를 붙여넣거나 파일 업로드로 일괄 등록할 수 있어야 한다.","P0","사용자 추가 요청","일부 반영"
"MST-009","기능","기준정보","상품 일괄등록 검증","상품코드 중복, 필수값 누락, 숫자 형식, 상품용도, 판매가능 값, 재고 수량을 검증한다.","P0","사용자 추가 요청","일부 반영"
"PRC-001","기능","단가/견적","단가표 통합 조회","베스트 유리 단가, 작업 단가, 썬팅 단가, 필름 재단 정보를 하나의 화면에서 조회한다.","P0","베스트단가표.html, 썬팅.html, 필름 재단.html","일부 반영"
"PRC-002","기능","단가/견적","견적 자동 제안","차종과 작업내역 선택 시 부품 단가, 작업 단가, 썬팅 단가, 필름 재단 정보를 추천한다.","P1","베스트단가표.html, 썬팅.html","미반영"
"PRC-003","기능","단가/견적","단가 이력 관리","단가 변경 시 적용 시작일과 종료일 기준으로 과거 산정 근거를 유지한다.","P1","실무 운영 필요","미반영"
"PRC-004","기능","기준정보/단가관리","기준정보 및 단가관리 화면","차량용 유리 단가, 썬팅 필름 단가, 차종별 재단 정보를 기준정보 화면에서 통합 관리한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-005","기능","기준정보/단가관리","단가관리 탭 분리","단가관리 화면은 유리/몰딩 단가표, 썬팅 필름 단가표, 차종별 재단 정보 탭으로 분리한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-006","기능","기준정보/단가관리","유리/몰딩 단가표 컬럼","유리/몰딩 단가표는 제조사, 차종, 구분, 옵션/사양, 순정부품가, 비품가, 몰딩타입, 몰딩단가, 관리 액션을 표시한다.","P0","사용자 제공 화면 캡처, 베스트단가표.html","미반영"
"PRC-007","기능","기준정보/단가관리","단가관리 필터","제조사, 차종 검색, 구분 필터와 초기화/조회 버튼을 제공한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-008","기능","기준정보/단가관리","단가관리 엑셀 다운로드","현재 조회 조건의 단가표를 엑셀로 다운로드할 수 있어야 한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-009","기능","기준정보/단가관리","단가 신규 등록","관리자가 단가 항목을 신규 등록하고 수정/삭제할 수 있어야 한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-010","기능","기준정보/단가관리","단가표 페이지네이션","단가 목록은 총 건수, 현재 범위, 페이지 번호, 이전/다음 이동을 제공한다.","P1","사용자 제공 화면 캡처","미반영"
"WRK-001","기능","작업관리","작업 등록","작업일, 예약일, 고객, 차량번호, 차종, 거래처, 보험사, 작업구분, 작업내역, 담당자를 등록한다.","P0","기존 프로토타입, 사용자 피드백","일부 반영"
"WRK-002","기능","작업관리","작업 상세","작업 하나를 기준으로 차량, 고객, 견적, 보증서, 결제, 첨부, 메모를 한 화면에서 확인한다.","P0","기존 프로토타입","일부 반영"
"WRK-003","기능","작업관리","작업 일정 관리","예약, 입고, 작업완료, 출고 상태를 일정 화면에서 관리한다.","P1","스케줄.html","일부 반영"
"WRK-004","기능","작업관리","견적 기반 작업 자동 생성","견적 등록 또는 수정 시 작업일/시간/방문방식/담당자를 입력하면 작업 목록과 캘린더에 예정 작업을 자동 생성한다. 별도 작업 등록은 견적 없는 현장 접수나 긴급 작업 예외 플로우로 사용한다.","P0","사용자 피드백","일부 반영"
"WRK-005","기능","작업관리","캘린더 작업 일정 이동","작업 캘린더에서 작업 카드를 길게 선택해 다른 시간 또는 날짜로 이동할 수 있다. 완료된 작업을 이동할 때는 '완료된 작업입니다. 일정을 변경할까요?' 확인 모달을 표시하고 취소/일정변경 버튼을 제공한다.","P0","사용자 피드백","일부 반영"
