순번	구분	확인 내용	클라이언트 확인 질문	답변	상세 의견	자료 공유
1	전체 방향	견적 접수 -> 작업 예약 -> 작업 완료 -> 재고 차감 -> 청구/전표 생성 -> 입금/미수 확인 흐름으로 설계	이 흐름으로 업무를 처리하면 괜찮을까요?			
2	전체 방향	개발팀이 정리한 기본 업무 흐름 확인	위 흐름에서 빠진 업무가 있을까요?			
3	전체 방향	개발 우선순위 확인	가장 먼저 해결됐으면 하는 업무가 있다면 무엇인가요?			
4	견적 접수	첫 견적 저장 필수값은 고객 연락처, 문의일, 문의 내용 또는 메모로 설계	처음 견적 저장은 이렇게 간단하게 해도 괜찮을까요?			
5	견적 접수	차량번호, 차대번호, 브랜드/모델/년식, 수리구분, 수리부위, 부품번호, 옵션, 썬팅, 보험사/접수번호는 나중에 입력 가능하게 설계	나중에 채워도 되는 정보로 처리해도 괜찮을까요?			
6	견적 접수	초기 필수 입력값 확인	처음부터 꼭 받아야 하는 정보가 더 있을까요?			
7	견적 접수	문의 유입 경로 확인	고객 문의는 주로 어디로 들어오나요? 예: 전화, 카카오톡, 문자, 방문, 정비소 소개, 보험사			
8	수리구분	기본값: 교체, 복원, 탈부착, 점검, 썬팅, ADAS 보정, 기타	이 항목으로 시작해도 괜찮을까요?			
9	수리구분	수리구분 기본값 보완	빼야 할 항목이나 추가해야 할 항목이 있을까요?			
10	수리부위	기본값: 전면유리, 후면유리, 운전석 도어유리, 조수석 도어유리, 운전석 뒤 도어유리, 조수석 뒤 도어유리, 쿼터글라스, 벤트글라스, 썬루프/파노라마, 몰딩, 카울, 기타	이 항목으로 시작해도 괜찮을까요?			
11	수리부위	수리부위 기본값 보완	빼야 할 항목이나 추가해야 할 항목이 있을까요?			
12	수리부위	여러 부위/여러 부품을 한 작업에 넣을 수 있게 설계	한 작업에 수리부위나 부품이 여러 개 들어가는 경우가 있나요?			
13	수리부위	썬팅 처리 방식 확인	썬팅은 별도 작업으로 보는 게 좋을까요, 유리 작업의 옵션으로 보는 게 좋을까요?			
14	검색 방식	고객, 차량번호, 보험사, 정비소, 부품번호, 차종/모델은 검색해서 선택하는 방식으로 설계	검색해서 선택하는 방식으로 만들면 괜찮을까요?			
15	검색 방식	검색 결과가 없을 때 바로 신규 등록 가능하게 설계 검토	검색 결과가 없으면 바로 새로 등록할 수 있게 하면 좋을까요?			
16	검색 방식	정확한 정보가 없어도 임시 입력 후 저장 가능하게 설계 검토	정확한 정보가 없을 때 임시로 입력하고 나중에 정리할 수 있게 하면 좋을까요?			
17	작업 예약	견적 확정 후 작업으로 바로 등록할 수 있게 설계	견적에서 작업으로 바로 등록하는 흐름이 괜찮을까요?			
18	작업 예약	작업 등록 값: 작업일, 작업시간 또는 시간 미정, 방문/출장, 작업 담당자, 출장 주소, 작업 메모	작업 등록 시 꼭 더 필요한 정보가 있을까요?			
19	작업 예약	작업 시간 입력 방식 확인	작업 시간은 정확한 시간으로 잡나요, 아니면 오전/오후/미정도 필요할까요?			
20	작업 완료	작업 완료 시 작업 사진 첨부 가능하게 설계	작업 사진 첨부가 필요할까요?			
21	작업 완료	작업 완료 후 사용 부품 확인 및 재고 차감 흐름 설계	작업 완료 후 재고는 바로 차감할까요, 사용 부품 확인 후 차감할까요?			
22	보험/청구	청구 구분 기본값: 일반, 자차, 대물(무과실), 대물(과실), 배상책임, 정비소 청구	이 청구 구분으로 시작해도 괜찮을까요?			
23	보험/청구	보험 청구 사용 빈도 확인	보험 청구 업무가 실제로 자주 발생하나요?			
24	보험/청구	다이렉트 청구 필요 여부 확인	작업 없이 청구서만 바로 작성하는 경우도 있나요?			
25	보험/청구	부분 입금 처리 필요 여부 확인	보험 입금이 여러 번 나눠 들어오는 경우가 있나요?			
